INFO:root:LOGGING NEW EXPERIMENT WITH Acrobot-v1 ENVIRONMENT AT /home/shahbaz/Research/Experimental Records/A2C/Acrobot-v1/logs/2019-08-07 22:01:30.788430.log ON 2019-08-07 22:01:30.788559
INFO:root:HYPER-PARAMETERS:
INFO:root:episode: 0     reward: -273.000
INFO:root:episode: 1     reward: -500.000
INFO:root:episode: 2     reward: -500.000
INFO:root:episode: 3     reward: -401.000
INFO:root:episode: 4     reward: -188.000
INFO:root:episode: 5     reward: -225.000
INFO:root:episode: 6     reward: -192.000
INFO:root:episode: 7     reward: -214.000
INFO:root:episode: 8     reward: -276.000
INFO:root:episode: 9     reward: -146.000
INFO:root:episode: 10     reward: -190.000
INFO:root:episode: 11     reward: -136.000
INFO:root:episode: 12     reward: -155.000
INFO:root:episode: 13     reward: -128.000
INFO:root:episode: 14     reward: -235.000
INFO:root:episode: 15     reward: -227.000
INFO:root:episode: 16     reward: -216.000
INFO:root:episode: 17     reward: -191.000
INFO:root:episode: 18     reward: -140.000
INFO:root:episode: 19     reward: -148.000
INFO:root:episode: 20     reward: -128.000
INFO:root:episode: 21     reward: -237.000
INFO:root:episode: 22     reward: -272.000
INFO:root:episode: 23     reward: -155.000
INFO:root:episode: 24     reward: -148.000
INFO:root:episode: 25     reward: -164.000
INFO:root:episode: 26     reward: -159.000
INFO:root:episode: 27     reward: -183.000
INFO:root:episode: 28     reward: -122.000
INFO:root:episode: 29     reward: -147.000
INFO:root:episode: 30     reward: -205.000
INFO:root:episode: 31     reward: -135.000
INFO:root:episode: 32     reward: -137.000
INFO:root:episode: 33     reward: -147.000
INFO:root:episode: 34     reward: -204.000
INFO:root:episode: 35     reward: -141.000
INFO:root:episode: 36     reward: -147.000
INFO:root:episode: 37     reward: -160.000
INFO:root:episode: 38     reward: -200.000
INFO:root:episode: 39     reward: -148.000
INFO:root:episode: 40     reward: -115.000
INFO:root:episode: 41     reward: -265.000
INFO:root:episode: 42     reward: -163.000
INFO:root:episode: 43     reward: -166.000
INFO:root:episode: 44     reward: -144.000
INFO:root:episode: 45     reward: -187.000
INFO:root:episode: 46     reward: -136.000
INFO:root:episode: 47     reward: -130.000
INFO:root:episode: 48     reward: -154.000
INFO:root:episode: 49     reward: -136.000
INFO:root:episode: 50     reward: -177.000
INFO:root:episode: 51     reward: -117.000
INFO:root:episode: 52     reward: -171.000
INFO:root:episode: 53     reward: -330.000
INFO:root:episode: 54     reward: -138.000
INFO:root:episode: 55     reward: -132.000
INFO:root:episode: 56     reward: -172.000
INFO:root:episode: 57     reward: -138.000
INFO:root:episode: 58     reward: -148.000
INFO:root:episode: 59     reward: -167.000
INFO:root:episode: 60     reward: -159.000
INFO:root:episode: 61     reward: -146.000
INFO:root:episode: 62     reward: -116.000
INFO:root:episode: 63     reward: -126.000
INFO:root:episode: 64     reward: -137.000
INFO:root:episode: 65     reward: -149.000
INFO:root:episode: 66     reward: -136.000
INFO:root:episode: 67     reward: -136.000
INFO:root:episode: 68     reward: -154.000
INFO:root:episode: 69     reward: -163.000
INFO:root:episode: 70     reward: -128.000
INFO:root:episode: 71     reward: -139.000
INFO:root:episode: 72     reward: -238.000
INFO:root:episode: 73     reward: -229.000
INFO:root:episode: 74     reward: -174.000
INFO:root:episode: 75     reward: -161.000
INFO:root:episode: 76     reward: -188.000
INFO:root:episode: 77     reward: -216.000
INFO:root:episode: 78     reward: -180.000
INFO:root:episode: 79     reward: -135.000
INFO:root:episode: 80     reward: -170.000
INFO:root:episode: 81     reward: -128.000
INFO:root:episode: 82     reward: -145.000
INFO:root:episode: 83     reward: -146.000
INFO:root:episode: 84     reward: -176.000
INFO:root:episode: 85     reward: -146.000
INFO:root:episode: 86     reward: -143.000
INFO:root:episode: 87     reward: -151.000
INFO:root:episode: 88     reward: -169.000
INFO:root:episode: 89     reward: -151.000
INFO:root:episode: 90     reward: -152.000
INFO:root:episode: 91     reward: -135.000
INFO:root:episode: 92     reward: -117.000
INFO:root:episode: 93     reward: -138.000
INFO:root:episode: 94     reward: -271.000
INFO:root:episode: 95     reward: -191.000
INFO:root:episode: 96     reward: -133.000
INFO:root:episode: 97     reward: -151.000
INFO:root:episode: 98     reward: -165.000
INFO:root:episode: 99     reward: -157.000
